year,airline_name,seat_supply,flight_count,passenger_count,cargo_ton,load_factor_proxy,passengers_per_flight,passenger_growth_rate,flight_growth_rate,seat_supply_growth_rate,is_lcc
2022,DHL AIR LIMITED(DHK),0.0,48.0,0.0,420.0,0.0,0.0,,,,False
2023,DHL AIR LIMITED(DHK),0.0,280.0,0.0,2307.0,0.0,0.0,,483.33,,False
2024,DHL AIR LIMITED(DHK),0.0,4.0,0.0,8.0,0.0,0.0,,-98.57,,False
2025,DHL AIR LIMITED(DHK),0.0,4.0,0.0,85.0,0.0,0.0,,0.0,,False
2026,DHL AIR LIMITED(DHK),0.0,2.0,0.0,84.0,0.0,0.0,,-50.0,,False
2022,JetAvia(ZAV),0.0,6.0,0.0,48.0,0.0,0.0,,,,False
2023,Myway Airlines(MYW),0.0,1.0,0.0,0.0,0.0,0.0,,,,False
2024,Myway Airlines(MYW),0.0,1.0,0.0,7.0,0.0,0.0,,0.0,,False
2022,Royal Air Philippines(RYL),8280.0,48.0,6029.0,63.0,0.7281,125.6,,,,False
2023,Royal Air Philippines(RYL),50370.0,286.0,41614.0,463.0,0.8262,145.5,590.23,495.83,508.33,False
2024,Royal Air Philippines(RYL),18690.0,112.0,11547.0,141.0,0.6178,103.1,-72.25,-60.84,-62.89,False
2025,Royal Air Philippines(RYL),1080.0,6.0,1038.0,16.0,0.9611,173.0,-91.01,-94.64,-94.22,False
2025,SCAT 항공(VSV),23358.0,124.0,12912.0,279.0,0.5528,104.13,,,,False
2026,SCAT 항공(VSV),37704.0,200.0,22244.0,462.0,0.59,111.22,72.27,61.29,61.42,False
2022,YTO 화물 항공사(HYT),0.0,168.0,0.0,1493.0,0.0,0.0,,,,False
2023,YTO 화물 항공사(HYT),0.0,302.0,0.0,4252.0,0.0,0.0,,79.76,,False
2024,YTO 화물 항공사(HYT),0.0,1130.0,0.0,17077.0,0.0,0.0,,274.17,,False
2025,YTO 화물 항공사(HYT),0.0,636.0,0.0,11321.0,0.0,0.0,,-43.72,,False
2026,YTO 화물 항공사(HYT),0.0,342.0,0.0,6632.0,0.0,0.0,,-46.23,,False
2022,가루다인도네시아(GIA),65381.0,245.0,39207.0,3815.0,0.5997,160.03,,,,False
2023,가루다인도네시아(GIA),148234.0,546.0,102384.0,4756.0,0.6907,187.52,161.14,122.86,126.72,False
2024,가루다인도네시아(GIA),291204.0,1068.0,217029.0,9401.0,0.7453,203.21,111.98,95.6,96.45,False
2025,가루다인도네시아(GIA),338382.0,1238.0,252943.0,11157.0,0.7475,204.32,16.55,15.92,16.2,False
2026,가루다인도네시아(GIA),138104.0,500.0,99389.0,6280.0,0.7197,198.78,-60.71,-59.61,-59.19,False
2025,구원항공(JYH),4158.0,22.0,1270.0,12.0,0.3054,57.73,,,,False
2022,국적사 계,58650671.0,325963.0,48846464.0,2495366.0,0.8328,149.85,,,,False
