year,region,country,flight_count,passenger_count,cargo_ton,passenger_growth_rate,flight_growth_rate,cargo_growth_rate,passengers_per_flight
2022,전체 합계,nan,182760.0,19500059.0,3320436.0,,,,106.7
2023,전체 합계,nan,411299.0,68319015.0,3741485.0,250.35,125.05,12.68,166.11
2024,전체 합계,nan,519085.0,88926621.0,4191505.0,30.16,26.21,12.03,171.31
2025,전체 합계,nan,548998.0,94548031.0,4272011.0,6.32,5.76,1.92,172.22
2022,대양주,괌,2922.0,437915.0,8083.0,,,,149.87
2023,대양주,괌,5012.0,809932.0,12761.0,84.95,71.53,57.87,161.6
2024,대양주,괌,4486.0,819663.0,12630.0,1.2,-10.49,-1.03,182.72
2025,대양주,괌,5987.0,851145.0,13031.0,3.84,33.46,3.17,142.17
2023,유럽,그리스,14.0,2958.0,50.0,,,,211.29
2024,유럽,그리스,52.0,13018.0,214.0,340.09,271.43,328.0,250.35
2023,대양주,나우루,3.0,12.0,0.0,,,,4.0
2024,대양주,나우루,1.0,5.0,0.0,-58.33,-66.67,,5.0
2025,기타,나이지리아,0.0,0.0,0.0,,,,0.0
2022,유럽,네덜란드,1029.0,139924.0,35360.0,,,,135.98
2023,유럽,네덜란드,1497.0,252635.0,49280.0,80.55,45.48,39.37,168.76
2024,유럽,네덜란드,1364.0,303522.0,56080.0,20.14,-8.88,13.8,222.52
2025,유럽,네덜란드,1406.0,312365.0,55807.0,2.91,3.08,-0.49,222.17
2022,아시아,네팔,194.0,33218.0,1547.0,,,,171.23
2023,아시아,네팔,420.0,83705.0,3563.0,151.99,116.49,130.32,199.3
2024,아시아,네팔,360.0,74263.0,3407.0,-11.28,-14.29,-4.38,206.29
2025,아시아,네팔,228.0,48318.0,2486.0,-34.94,-36.67,-27.03,211.92
2022,유럽,노르웨이,408.0,0.0,25924.0,,,,0.0
2023,유럽,노르웨이,428.0,10405.0,21301.0,inf,4.9,-17.83,24.31
2024,유럽,노르웨이,489.0,11543.0,25017.0,10.94,14.25,17.45,23.61
2025,유럽,노르웨이,347.0,5525.0,21199.0,-52.14,-29.04,-15.26,15.92
2022,대양주,뉴질랜드,378.0,64467.0,4784.0,,,,170.55
2023,대양주,뉴질랜드,845.0,172897.0,9731.0,168.19,123.54,103.41,204.61
2024,대양주,뉴질랜드,612.0,144875.0,8042.0,-16.21,-27.57,-17.36,236.72
2025,대양주,뉴질랜드,586.0,144263.0,7318.0,-0.42,-4.25,-9.0,246.18
2022,아시아,대만,5989.0,277694.0,79359.0,,,,46.37
2023,아시아,대만,18198.0,3511477.0,95101.0,1164.51,203.86,19.84,192.96
2024,아시아,대만,25377.0,4973674.0,109688.0,41.64,39.45,15.34,195.99
2025,아시아,대만,29140.0,5803155.0,136195.0,16.68,14.83,24.17,199.15
2025,유럽,덴마크,106.0,26345.0,1490.0,,,,248.54
2022,유럽,독일,6795.0,443102.0,180813.0,,,,65.21
2023,유럽,독일,5700.0,740789.0,154996.0,67.18,-16.11,-14.28,129.96
2024,유럽,독일,5227.0,715450.0,149562.0,-3.42,-8.3,-3.51,136.88
2025,유럽,독일,4915.0,725454.0,136889.0,1.4,-5.97,-8.47,147.6
2022,아시아,라오스,487.0,56098.0,1178.0,,,,115.19
2023,아시아,라오스,1904.0,292374.0,3935.0,421.18,290.97,234.04,153.56
2024,아시아,라오스,2975.0,475823.0,6146.0,62.74,56.25,56.19,159.94
2025,아시아,라오스,2126.0,328967.0,4775.0,-30.86,-28.54,-22.31,154.74
2022,유럽,러시아,294.0,11651.0,7427.0,,,,39.63
2024,유럽,러시아,4.0,1075.0,18.0,-90.77,-98.64,-99.76,268.75
2025,유럽,러시아,8.0,2230.0,37.0,107.44,100.0,105.56,278.75
2022,기타,레바논,6.0,797.0,45.0,,,,132.83
2023,기타,레바논,4.0,541.0,25.0,-32.12,-33.33,-44.44,135.25
2025,기타,레바논,4.0,577.0,23.0,6.65,0.0,-8.0,144.25
2022,유럽,룩셈부르크,335.0,0.0,21862.0,,,,0.0
2023,유럽,룩셈부르크,311.0,0.0,17778.0,,-7.16,-18.68,0.0
2024,유럽,룩셈부르크,312.0,0.0,16390.0,,0.32,-7.81,0.0
2025,유럽,룩셈부르크,301.0,0.0,18562.0,,-3.53,13.25,0.0
2022,아시아,마카오,0.0,0.0,0.0,,,,0.0
2023,아시아,마카오,1378.0,220237.0,2474.0,inf,inf,inf,159.82
2024,아시아,마카오,3365.0,495461.0,5713.0,124.97,144.19,130.92,147.24
2025,아시아,마카오,3312.0,491536.0,5809.0,-0.79,-1.58,1.68,148.41
2022,아시아,말레이시아,3446.0,345600.0,69091.0,,,,100.29
2023,아시아,말레이시아,6593.0,1199571.0,62819.0,247.1,91.32,-9.08,181.95
2024,아시아,말레이시아,7217.0,1379286.0,61925.0,14.98,9.46,-1.42,191.12
2025,아시아,말레이시아,7233.0,1287970.0,73429.0,-6.62,0.22,18.58,178.07
2022,미주,멕시코,399.0,11988.0,11178.0,,,,30.05
2023,미주,멕시코,314.0,79.0,9921.0,-99.34,-21.3,-11.25,0.25
2024,미주,멕시코,613.0,61566.0,12065.0,77831.65,95.22,21.61,100.43
2025,미주,멕시코,1277.0,136408.0,16818.0,121.56,108.32,39.39,106.82
2025,기타,모로코,0.0,0.0,113.0,,,,0.0
2022,기타,모잠비크,1.0,0.0,46.0,,,,0.0
2022,아시아,몽골,2168.0,318775.0,13684.0,,,,147.04
2023,아시아,몽골,3835.0,653892.0,17109.0,105.13,76.89,25.03,170.51
2024,아시아,몽골,4579.0,765343.0,20219.0,17.04,19.4,18.18,167.14
2025,아시아,몽골,4854.0,796411.0,20344.0,4.06,6.01,0.62,164.07
2022,미주,미국,40633.0,2769687.0,771436.0,,,,68.16
2023,미주,미국,36988.0,4864384.0,733557.0,75.63,-8.97,-4.91,131.51
2024,미주,미국,39602.0,5498722.0,769783.0,13.04,7.07,4.94,138.85
2025,미주,미국,41275.0,5636716.0,742718.0,2.51,4.22,-3.52,136.56
2022,아시아,미얀마,446.0,40971.0,1895.0,,,,91.86
2023,아시아,미얀마,540.0,59572.0,2708.0,45.4,21.08,42.9,110.32
2024,아시아,미얀마,566.0,62610.0,2669.0,5.1,4.81,-1.44,110.62
2025,아시아,미얀마,510.0,59432.0,2384.0,-5.08,-9.89,-10.68,116.53
2022,기타,바레인,0.0,0.0,0.0,,,,0.0
2023,기타,바레인,0.0,0.0,17.0,,,inf,0.0
2024,기타,바레인,0.0,0.0,0.0,,,-100.0,0.0
2022,아시아,방글라데시,104.0,12617.0,448.0,,,,121.32
2023,아시아,방글라데시,112.0,15035.0,529.0,19.16,7.69,18.08,134.24
2024,아시아,방글라데시,90.0,18972.0,861.0,26.19,-19.64,62.76,210.8
2025,아시아,방글라데시,46.0,8330.0,540.0,-56.09,-48.89,-37.28,181.09
2022,아시아,베트남,20867.0,2859572.0,265695.0,,,,137.04
2023,아시아,베트남,50840.0,8744747.0,312873.0,205.81,143.64,17.76,172.01
2024,아시아,베트남,59216.0,10729557.0,363191.0,22.7,16.48,16.08,181.19
2025,아시아,베트남,56395.0,10349329.0,363594.0,-3.54,-4.76,0.11,183.52
2022,유럽,벨기에,357.0,0.0,12285.0,,,,0.0
2023,유럽,벨기에,317.0,0.0,15672.0,,-11.2,27.57,0.0
2024,유럽,벨기에,310.0,0.0,14014.0,,-2.21,-10.58,0.0
2025,유럽,벨기에,307.0,0.0,10472.0,,-0.97,-25.27,0.0
2022,기타,부르키나 파소,1.0,0.0,23.0,,,,0.0
2022,유럽,불가리아,0.0,0.0,0.0,,,,0.0
2023,유럽,불가리아,0.0,0.0,0.0,,,,0.0
2022,미주,브라질,306.0,0.0,4222.0,,,,0.0
2023,미주,브라질,295.0,0.0,4917.0,,-3.59,16.46,0.0
2024,미주,브라질,209.0,0.0,3204.0,,-29.15,-34.84,0.0
2025,미주,브라질,209.0,0.0,3220.0,,0.0,0.5,0.0
2022,아시아,브루나이,28.0,2333.0,44.0,,,,83.32
2023,아시아,브루나이,280.0,22822.0,436.0,878.23,900.0,890.91,81.51
2024,아시아,브루나이,314.0,27873.0,593.0,22.13,12.14,36.01,88.77
2025,아시아,브루나이,314.0,31008.0,654.0,11.25,0.0,10.29,98.75
2022,기타,사우디아라비아,194.0,20548.0,2419.0,,,,105.92
2023,기타,사우디아라비아,395.0,70211.0,4222.0,241.69,103.61,74.53,177.75
2024,기타,사우디아라비아,158.0,20673.0,1641.0,-70.56,-60.0,-61.13,130.84
2022,대양주,사이판,1201.0,157078.0,2267.0,,,,130.79
2023,대양주,사이판,2475.0,386328.0,4695.0,145.95,106.08,107.1,156.09
2024,대양주,사이판,2289.0,376178.0,4620.0,-2.63,-7.52,-1.6,164.34
2025,대양주,사이판,1566.0,225349.0,2908.0,-40.1,-31.59,-37.06,143.9
2023,기타,세네갈,0.0,0.0,0.0,,,,0.0
2022,기타,수단,1.0,0.0,25.0,,,,0.0
2025,기타,수단,2.0,254.0,6.0,inf,100.0,-76.0,127.0
2022,아시아,스리랑카,128.0,23866.0,1854.0,,,,186.45
2023,아시아,스리랑카,210.0,40331.0,2805.0,68.99,64.06,51.29,192.05
2024,아시아,스리랑카,215.0,39288.0,3508.0,-2.59,2.38,25.06,182.73
2025,아시아,스리랑카,215.0,45665.0,3506.0,16.23,0.0,-0.06,212.4
2022,유럽,스웨덴,81.0,0.0,3814.0,,,,0.0
2023,유럽,스웨덴,103.0,0.0,3108.0,,27.16,-18.51,0.0
2024,유럽,스웨덴,84.0,0.0,3000.0,,-18.45,-3.47,0.0
2022,유럽,스위스,104.0,0.0,3980.0,,,,0.0
2023,유럽,스위스,280.0,48913.0,5267.0,inf,169.23,32.34,174.69
2024,유럽,스위스,426.0,75594.0,8942.0,54.55,52.14,69.77,177.45
