base_date,year,month,day,currency_code,jpy_krw_rate,jpy_krw_change_rate_7d,jpy_krw_change_rate_30d,jpy_krw_change_rate_90d,source_file
1984-01-04,1984,1,4,JPY,227.54,,,,한국무역보험공사_환율_20230718.csv
1984-01-05,1984,1,5,JPY,342.2,,,,한국무역보험공사_환율_20230718.csv
1984-01-06,1984,1,6,JPY,342.3,,,,한국무역보험공사_환율_20230718.csv
1984-01-07,1984,1,7,JPY,342.83,,,,한국무역보험공사_환율_20230718.csv
1984-01-09,1984,1,9,JPY,342.83,,,,한국무역보험공사_환율_20230718.csv
1984-01-10,1984,1,10,JPY,341.94,,,,한국무역보험공사_환율_20230718.csv
1984-01-11,1984,1,11,JPY,341.9,,,,한국무역보험공사_환율_20230718.csv
1984-01-12,1984,1,12,JPY,340.43,49.61,,,한국무역보험공사_환율_20230718.csv
1984-01-13,1984,1,13,JPY,340.57,-0.48,,,한국무역보험공사_환율_20230718.csv
1984-01-14,1984,1,14,JPY,342.01,-0.08,,,한국무역보험공사_환율_20230718.csv
1984-01-16,1984,1,16,JPY,342.01,-0.24,,,한국무역보험공사_환율_20230718.csv
1984-01-17,1984,1,17,JPY,341.87,-0.28,,,한국무역보험공사_환율_20230718.csv
1984-01-18,1984,1,18,JPY,340.49,-0.42,,,한국무역보험공사_환율_20230718.csv
1984-01-19,1984,1,19,JPY,341.5,-0.12,,,한국무역보험공사_환율_20230718.csv
1984-01-20,1984,1,20,JPY,341.62,0.35,,,한국무역보험공사_환율_20230718.csv
1984-01-21,1984,1,21,JPY,340.63,0.02,,,한국무역보험공사_환율_20230718.csv
1984-01-23,1984,1,23,JPY,340.63,-0.4,,,한국무역보험공사_환율_20230718.csv
1984-01-24,1984,1,24,JPY,341.23,-0.23,,,한국무역보험공사_환율_20230718.csv
1984-01-25,1984,1,25,JPY,341.28,-0.17,,,한국무역보험공사_환율_20230718.csv
1984-01-26,1984,1,26,JPY,341.66,0.34,,,한국무역보험공사_환율_20230718.csv
1984-01-27,1984,1,27,JPY,340.97,-0.16,,,한국무역보험공사_환율_20230718.csv
1984-01-28,1984,1,28,JPY,341.34,-0.08,,,한국무역보험공사_환율_20230718.csv
1984-01-30,1984,1,30,JPY,341.34,0.21,,,한국무역보험공사_환율_20230718.csv
1984-01-31,1984,1,31,JPY,340.53,-0.03,,,한국무역보험공사_환율_20230718.csv
1984-02-01,1984,2,1,JPY,340.71,-0.15,,,한국무역보험공사_환율_20230718.csv
1984-02-02,1984,2,2,JPY,340.92,-0.11,,,한국무역보험공사_환율_20230718.csv
1984-02-03,1984,2,3,JPY,341.66,0.0,,,한국무역보험공사_환율_20230718.csv
1984-02-04,1984,2,4,JPY,342.33,0.4,,,한국무역보험공사_환율_20230718.csv
1984-02-06,1984,2,6,JPY,342.33,0.29,,,한국무역보험공사_환율_20230718.csv
1984-02-07,1984,2,7,JPY,341.31,-0.01,,,한국무역보험공사_환율_20230718.csv
1984-02-08,1984,2,8,JPY,340.79,0.08,49.77,,한국무역보험공사_환율_20230718.csv
1984-02-09,1984,2,9,JPY,341.02,0.09,-0.34,,한국무역보험공사_환율_20230718.csv
1984-02-10,1984,2,10,JPY,340.45,-0.14,-0.54,,한국무역보험공사_환율_20230718.csv
1984-02-11,1984,2,11,JPY,340.68,-0.29,-0.63,,한국무역보험공사_환율_20230718.csv
1984-02-13,1984,2,13,JPY,340.68,-0.48,-0.63,,한국무역보험공사_환율_20230718.csv
1984-02-14,1984,2,14,JPY,340.27,-0.6,-0.49,,한국무역보험공사_환율_20230718.csv
1984-02-15,1984,2,15,JPY,341.22,-0.03,-0.2,,한국무역보험공사_환율_20230718.csv
1984-02-16,1984,2,16,JPY,340.57,-0.06,0.04,,한국무역보험공사_환율_20230718.csv
1984-02-17,1984,2,17,JPY,341.31,0.09,0.22,,한국무역보험공사_환율_20230718.csv
1984-02-18,1984,2,18,JPY,341.2,0.22,-0.24,,한국무역보험공사_환율_20230718.csv
1984-02-20,1984,2,20,JPY,341.2,0.15,-0.24,,한국무역보험공사_환율_20230718.csv
1984-02-21,1984,2,21,JPY,341.07,0.11,-0.23,,한국무역보험공사_환율_20230718.csv
1984-02-22,1984,2,22,JPY,340.91,0.19,0.12,,한국무역보험공사_환율_20230718.csv
1984-02-23,1984,2,23,JPY,340.92,-0.09,-0.17,,한국무역보험공사_환율_20230718.csv
1984-02-24,1984,2,24,JPY,340.74,0.05,-0.26,,한국무역보험공사_환율_20230718.csv
1984-02-25,1984,2,25,JPY,340.46,-0.25,-0.05,,한국무역보험공사_환율_20230718.csv
1984-02-26,1984,2,26,JPY,340.46,-0.22,-0.05,,한국무역보험공사_환율_20230718.csv
1984-02-27,1984,2,27,JPY,340.46,-0.22,-0.23,,한국무역보험공사_환율_20230718.csv
1984-02-28,1984,2,28,JPY,340.54,-0.16,-0.22,,한국무역보험공사_환율_20230718.csv
1984-02-29,1984,2,29,JPY,339.81,-0.32,-0.54,,한국무역보험공사_환율_20230718.csv
1984-03-01,1984,3,1,JPY,339.97,-0.28,-0.29,,한국무역보험공사_환율_20230718.csv
1984-03-02,1984,3,2,JPY,339.97,-0.23,-0.4,,한국무역보험공사_환율_20230718.csv
1984-03-03,1984,3,3,JPY,347.78,2.15,1.89,,한국무역보험공사_환율_20230718.csv
1984-03-04,1984,3,4,JPY,347.78,2.15,2.13,,한국무역보험공사_환율_20230718.csv
1984-03-05,1984,3,5,JPY,347.78,2.15,2.08,,한국무역보험공사_환율_20230718.csv
1984-03-06,1984,3,6,JPY,354.26,4.03,3.91,,한국무역보험공사_환율_20230718.csv
1984-03-07,1984,3,7,JPY,355.12,4.51,3.94,,한국무역보험공사_환율_20230718.csv
1984-03-08,1984,3,8,JPY,352.19,3.59,2.88,,한국무역보험공사_환율_20230718.csv
1984-03-09,1984,3,9,JPY,355.65,4.61,3.89,,한국무역보험공사_환율_20230718.csv
1984-03-10,1984,3,10,JPY,355.65,2.26,4.2,,한국무역보험공사_환율_20230718.csv
1984-03-11,1984,3,11,JPY,355.65,2.26,4.36,,한국무역보험공사_환율_20230718.csv
1984-03-12,1984,3,12,JPY,352.61,1.39,3.4,,한국무역보험공사_환율_20230718.csv
1984-03-13,1984,3,13,JPY,353.45,-0.23,3.82,,한국무역보험공사_환율_20230718.csv
1984-03-14,1984,3,14,JPY,354.9,-0.06,4.17,,한국무역보험공사_환율_20230718.csv
1984-03-15,1984,3,15,JPY,352.32,0.04,3.42,,한국무역보험공사_환율_20230718.csv
1984-03-16,1984,3,16,JPY,353.47,-0.61,3.88,,한국무역보험공사_환율_20230718.csv
1984-03-17,1984,3,17,JPY,350.56,-1.43,2.74,,한국무역보험공사_환율_20230718.csv
1984-03-18,1984,3,18,JPY,267.2,-24.87,-21.54,,한국무역보험공사_환율_20230718.csv
1984-03-19,1984,3,19,JPY,267.2,-24.22,-21.71,,한국무역보험공사_환율_20230718.csv
1984-03-20,1984,3,20,JPY,351.54,-0.54,3.03,,한국무역보험공사_환율_20230718.csv
1984-03-21,1984,3,21,JPY,351.04,-1.09,2.88,,한국무역보험공사_환율_20230718.csv
1984-03-22,1984,3,22,JPY,351.65,-0.19,3.1,,한국무역보험공사_환율_20230718.csv
1984-03-23,1984,3,23,JPY,350.47,-0.85,2.8,,한국무역보험공사_환율_20230718.csv
1984-03-24,1984,3,24,JPY,351.97,0.4,3.24,,한국무역보험공사_환율_20230718.csv
