locdate,dateName,isHoliday,dateKind,seq
2022-01-01,1월1일,Y,01,1
2022-01-31,설날,Y,01,1
2022-02-01,설날,Y,01,1
2022-02-02,설날,Y,01,1
2022-03-01,삼일절,Y,01,1
2022-03-09,대통령선거일,Y,01,1
2022-05-05,어린이날,Y,01,1
2022-05-08,부처님오신날,Y,01,1
2022-06-01,전국동시지방선거,Y,01,1
2022-06-06,현충일,Y,01,1
2022-08-15,광복절,Y,01,1
2022-09-09,추석,Y,01,1
2022-09-10,추석,Y,01,1
2022-09-11,추석,Y,01,1
2022-09-12,대체공휴일,Y,01,1
2022-10-03,개천절,Y,01,1
2022-10-09,한글날,Y,01,1
2022-10-10,대체공휴일,Y,01,3
2022-12-25,기독탄신일,Y,01,1
2023-01-01,1월1일,Y,01,1
2023-01-21,설날,Y,01,1
2023-01-22,설날,Y,01,1
2023-01-23,설날,Y,01,1
2023-01-24,대체공휴일,Y,01,1
2023-03-01,삼일절,Y,01,1
2023-05-05,어린이날,Y,01,1
2023-05-27,부처님오신날,Y,01,1
2023-05-29,대체공휴일,Y,01,1
2023-06-06,현충일,Y,01,1
2023-08-15,광복절,Y,01,1
2023-09-28,추석,Y,01,1
2023-09-29,추석,Y,01,1
2023-09-30,추석,Y,01,1
2023-10-02,임시공휴일,Y,01,2
2023-10-03,개천절,Y,01,1
2023-10-09,한글날,Y,01,1
2023-12-25,기독탄신일,Y,01,1
2024-01-01,1월1일,Y,01,1
2024-02-09,설날,Y,01,1
2024-02-10,설날,Y,01,1
2024-02-11,설날,Y,01,1
2024-02-12,대체공휴일(설날),Y,01,1
2024-03-01,삼일절,Y,01,1
2024-04-10,국회의원선거,Y,01,1
2024-05-05,어린이날,Y,01,1
2024-05-06,대체공휴일(어린이날),Y,01,1
2024-05-15,부처님오신날,Y,01,1
2024-06-06,현충일,Y,01,1
2024-08-15,광복절,Y,01,1
2024-09-16,추석,Y,01,1
2024-09-17,추석,Y,01,1
2024-09-18,추석,Y,01,1
2024-10-01,임시공휴일,Y,01,2
2024-10-03,개천절,Y,01,1
2024-10-09,한글날,Y,01,1
2024-12-25,기독탄신일,Y,01,1
2025-01-01,1월1일,Y,01,1
2025-01-27,임시공휴일,Y,01,1
2025-01-28,설날,Y,01,1
2025-01-29,설날,Y,01,1
2025-01-30,설날,Y,01,1
2025-03-01,삼일절,Y,01,1
2025-03-03,대체공휴일,Y,01,1
2025-05-05,어린이날,Y,01,1
2025-05-05,부처님오신날,Y,01,2
2025-05-06,대체공휴일,Y,01,1
2025-06-03,임시공휴일(제21대 대통령 선거),Y,01,1
2025-06-06,현충일,Y,01,1
2025-08-15,광복절,Y,01,1
2025-10-03,개천절,Y,01,1
2025-10-05,추석,Y,01,1
2025-10-06,추석,Y,01,1
2025-10-07,추석,Y,01,1
2025-10-08,대체공휴일,Y,01,1
2025-10-09,한글날,Y,01,1
2025-12-25,기독탄신일,Y,01,1
2026-01-01,1월1일,Y,01,1
2026-02-16,설날,Y,01,1
2026-02-17,설날,Y,01,1
2026-02-18,설날,Y,01,1
2026-03-01,삼일절,Y,01,1
2026-03-02,대체공휴일(삼일절),Y,01,1
2026-05-01,노동절,Y,01,2
2026-05-05,어린이날,Y,01,2
2026-05-24,부처님오신날,Y,01,1
2026-05-25,대체공휴일(부처님오신날),Y,01,1
2026-06-03,전국동시지방선거,Y,01,1
2026-06-06,현충일,Y,01,2
2026-07-17,제헌절,Y,01,1
2026-08-15,광복절,Y,01,1
2026-08-17,대체공휴일(광복절),Y,01,1
2026-09-24,추석,Y,01,1
2026-09-25,추석,Y,01,1
2026-09-26,추석,Y,01,1
2026-10-03,개천절,Y,01,1
2026-10-05,대체공휴일(개천절),Y,01,1
2026-10-09,한글날,Y,01,1
2026-12-25,기독탄신일,Y,01,1
