year,month,route,destination_airport,total_flight_count,total_paid_passenger_count,carrier_count,lcc_carrier_count,lcc_share,passengers_per_flight
2022,1,ICN-FUK,FUK,0.0,574.0,2,0,0.0,0
2022,1,ICN-KIX,KIX,0.0,1870.0,3,2,0.6667,0
2022,1,ICN-NGO,NGO,0.0,485.0,1,0,0.0,0
2022,1,ICN-NRT,NRT,0.0,5449.0,4,4,1.0,0
2022,2,ICN-FUK,FUK,0.0,963.0,2,0,0.0,0
2022,2,ICN-KIX,KIX,0.0,2489.0,3,2,0.6667,0
2022,2,ICN-NGO,NGO,0.0,550.0,1,0,0.0,0
2022,2,ICN-NRT,NRT,0.0,6976.0,3,2,0.6667,0
2022,3,ICN-FUK,FUK,0.0,1173.0,2,0,0.0,0
2022,3,ICN-KIX,KIX,0.0,3488.0,5,2,0.4,0
2022,3,ICN-NGO,NGO,0.0,456.0,1,0,0.0,0
2022,3,ICN-NRT,NRT,0.0,11565.0,4,3,0.75,0
2022,4,ICN-FUK,FUK,0.0,1980.0,2,0,0.0,0
2022,4,ICN-KIX,KIX,0.0,5423.0,5,2,0.4,0
2022,4,ICN-NGO,NGO,0.0,1508.0,2,0,0.0,0
2022,4,ICN-NRT,NRT,0.0,18554.0,5,4,0.8,0
2022,5,ICN-FUK,FUK,0.0,2158.0,4,2,0.5,0
2022,5,ICN-KIX,KIX,0.0,7056.0,6,4,0.6667,0
2022,5,ICN-NGO,NGO,0.0,1156.0,2,0,0.0,0
2022,5,ICN-NRT,NRT,0.0,23622.0,9,9,1.0,0
2022,6,ICN-CTS,CTS,0.0,44.0,1,0,0.0,0
2022,6,ICN-FUK,FUK,0.0,3721.0,4,2,0.5,0
2022,6,ICN-KIX,KIX,0.0,10229.0,6,4,0.6667,0
2022,6,ICN-NGO,NGO,0.0,2103.0,2,0,0.0,0
2022,6,ICN-NRT,NRT,0.0,34814.0,8,6,0.75,0
2022,7,ICN-CTS,CTS,0.0,2496.0,2,2,1.0,0
2022,7,ICN-FUK,FUK,0.0,8418.0,5,2,0.4,0
2022,7,ICN-KIX,KIX,0.0,18385.0,6,4,0.6667,0
