airline,flightId,scheduleDateTime,estimatedDateTime,airport,chkinrange,gatenumber,codeshare,masterflightid,remark,airportCode,terminalid,target_airport_code
에어부산,BX1667,202609220630,202609220640,도쿄/나리타,E11-E19,286,Master,,출발,NRT,P03,NRT
아시아나항공,OZ1087,202609220700,202609220710,도쿄/나리타,G17-J40,282,Master,,출발,NRT,P03,NRT
에티하드 항공,EY8455,202609220700,202609220710,도쿄/나리타,G17-J40,282,Slave,OZ1087,출발,NRT,P03,NRT
전일본공수,NH6978,202609220700,202609220710,도쿄/나리타,G17-J40,282,Slave,OZ1087,출발,NRT,P03,NRT
유나이티드항공,UA7297,202609220700,202609220710,도쿄/나리타,G17-J40,282,Slave,OZ1087,출발,NRT,P03,NRT
대한항공,KE5497,202609220700,202609220710,도쿄/나리타,G17-J40,282,Slave,OZ1087,출발,NRT,P03,NRT
제주항공,7C1191,202609220720,202609220718,도쿄/나리타,L13-L36,122,Master,,출발,NRT,P02,NRT
이스타항공,ZE605,202609220725,202609220724,도쿄/나리타,F22-G13,18,Master,,출발,NRT,P01,NRT
진에어,LJ201,202609220725,202609220734,도쿄/나리타,E21-F17,208,Master,,출발,NRT,P03,NRT
대한항공,KE5741,202609220725,202609220734,도쿄/나리타,E21-F17,208,Slave,LJ201,출발,NRT,P03,NRT
제주항공,7C1193,202609220745,202609220740,도쿄/나리타,L13-L36,43,Master,,출발,NRT,P01,NRT
대한항공,KE8705,202609220735,202609220806,도쿄/나리타,A B C D,222,Master,,출발,NRT,P03,NRT
에어 프랑스,AF5376,202609220735,202609220806,도쿄/나리타,A B C D,222,Slave,KE8705,출발,NRT,P03,NRT
아에로멕시코,AM6700,202609220735,202609220806,도쿄/나리타,A B C D,222,Slave,KE8705,출발,NRT,P03,NRT
델타항공,DL7781,202609220735,202609220806,도쿄/나리타,A B C D,222,Slave,KE8705,출발,NRT,P03,NRT
일본항공,JL5206,202609220735,202609220806,도쿄/나리타,A B C D,222,Slave,KE8705,출발,NRT,P03,NRT
버진 애틀랜틱 항공,VS5503,202609220735,202609220806,도쿄/나리타,A B C D,222,Slave,KE8705,출발,NRT,P03,NRT
아시아나항공,OZ9851,202609220735,202609220806,도쿄/나리타,A B C D,222,Slave,KE8705,출발,NRT,P03,NRT
진에어,LJ203,202609220755,202609220818,도쿄/나리타,E21-F17,236,Master,,출발,NRT,P03,NRT
이스타항공,ZE601,202609220800,202609220757,도쿄/나리타,F22-G13,105,Master,,출발,NRT,P02,NRT
대한항공,KE8707,202609220805,202609220818,도쿄/나리타,A B C D,245,Master,,출발,NRT,P03,NRT
아시아나항공,OZ9847,202609220805,202609220818,도쿄/나리타,A B C D,245,Slave,KE8707,출발,NRT,P03,NRT
제주항공,7C1101,202609220810,202609220804,도쿄/나리타,L13-L36,28,Master,,출발,NRT,P01,NRT
아시아나항공,OZ102,202609220825,202609220900,도쿄/나리타,G17-J40,266,Master,,출발,NRT,P03,NRT
에티하드 항공,EY8453,202609220825,202609220900,도쿄/나리타,G17-J40,266,Slave,OZ102,출발,NRT,P03,NRT
전일본공수,NH6972,202609220825,202609220900,도쿄/나리타,G17-J40,266,Slave,OZ102,출발,NRT,P03,NRT
에어 뉴질랜드,NZ4060,202609220825,202609220900,도쿄/나리타,G17-J40,266,Slave,OZ102,출발,NRT,P03,NRT
유나이티드항공,UA7318,202609220825,202609220900,도쿄/나리타,G17-J40,266,Slave,OZ102,출발,NRT,P03,NRT
대한항공,KE5703,202609220825,202609220900,도쿄/나리타,G17-J40,266,Slave,OZ102,출발,NRT,P03,NRT
에어서울,RS705,202609220810,202609220837,도쿄/나리타,E01-E10,286,Master,,출발,NRT,P03,NRT
트리니티항공,TW241,202609220835,202609220842,도쿄/나리타,B01-B18,110,Master,,출발,NRT,P02,NRT
진에어,LJ211,202609220805,202609220852,도쿄/나리타,E21-F17,211,Master,,출발,NRT,P03,NRT
에어부산,BX164,202609220710,202609220921,도쿄/나리타,E11-E19,289,Master,,출발,NRT,P03,NRT
에어서울,RS701,202609220920,202609220924,도쿄/나리타,E01-E10,284,Master,,출발,NRT,P03,NRT
에어프레미아,YP733,202609220925,202609220923,도쿄/나리타,C07-C32,19,Master,,출발,NRT,P01,NRT
제주항공,7C1175,202609220945,202609220955,도쿄/나리타,L13-L36,130,Master,,출발,NRT,P02,NRT
파라타항공,WE501,202609220950,202609221002,도쿄/나리타,B25-B32,8,Master,,출발,NRT,P01,NRT
대한항공,KE703,202609221010,202609221024,도쿄/나리타,A B C D,267,Master,,출발,NRT,P03,NRT
아시아나항공,OZ9843,202609221010,202609221024,도쿄/나리타,A B C D,267,Slave,KE703,출발,NRT,P03,NRT
델타항공,DL7779,202609221010,202609221024,도쿄/나리타,A B C D,267,Slave,KE703,출발,NRT,P03,NRT
아에로멕시코,AM6750,202609221010,202609221024,도쿄/나리타,A B C D,267,Slave,KE703,출발,NRT,P03,NRT
에어 타히티 누이,TN1577,202609221010,202609221024,도쿄/나리타,A B C D,267,Slave,KE703,출발,NRT,P03,NRT
일본항공,JL5202,202609221010,202609221024,도쿄/나리타,A B C D,267,Slave,KE703,출발,NRT,P03,NRT
트리니티항공,TW243,202609221020,202609221012,도쿄/나리타,B01-B18,24,Master,,출발,NRT,P01,NRT
제주항공,7C1103,202609221025,202609221026,도쿄/나리타,L13-L36,38,Master,,출발,NRT,P01,NRT
이스타항공,ZE609,202609221030,202609221036,도쿄/나리타,F22-G13,126,Master,,출발,NRT,P02,NRT
파라타항공,WE503,202609221120,202609221114,도쿄/나리타,B25-B32,26,Master,,출발,NRT,P01,NRT
대한항공,KE711,202609221300,202609221320,도쿄/나리타,A B C D,254,Master,,지연,NRT,P03,NRT
델타항공,DL7895,202609221300,202609221320,도쿄/나리타,A B C D,254,Slave,KE711,지연,NRT,P03,NRT
아에로멕시코,AM6705,202609221300,202609221320,도쿄/나리타,A B C D,254,Slave,KE711,지연,NRT,P03,NRT
버진 애틀랜틱 항공,VS5541,202609221300,202609221320,도쿄/나리타,A B C D,254,Slave,KE711,지연,NRT,P03,NRT
에어 타히티 누이,TN1575,202609221300,202609221320,도쿄/나리타,A B C D,254,Slave,KE711,지연,NRT,P03,NRT
일본항공,JL5250,202609221300,202609221320,도쿄/나리타,A B C D,254,Slave,KE711,지연,NRT,P03,NRT
에어 프랑스,AF7904,202609221300,202609221320,도쿄/나리타,A B C D,254,Slave,KE711,지연,NRT,P03,NRT
