year,origin,destination,route,flight_count,passenger_count,cargo_ton,passengers_per_flight,passenger_growth_rate,flight_growth_rate,cargo_growth_rate,is_japan_route
2021,인천(ICN),간사이(KIX),인천(ICN)-간사이(KIX),1922.0,39039.0,79390.0,20.31,,,,True
2022,인천(ICN),간사이(KIX),인천(ICN)-간사이(KIX),5659.0,667741.0,76592.0,118.0,1610.45,194.43,-3.52,True
2023,인천(ICN),간사이(KIX),인천(ICN)-간사이(KIX),19949.0,3802521.0,92331.0,190.61,469.46,252.52,20.55,True
2024,인천(ICN),간사이(KIX),인천(ICN)-간사이(KIX),22866.0,4452000.0,104160.0,194.7,17.08,14.62,12.81,True
2025,인천(ICN),간사이(KIX),인천(ICN)-간사이(KIX),24848.0,4464603.0,110198.0,179.68,0.28,8.67,5.8,True
2025,인천(ICN),고베(UKB),인천(ICN)-고베(UKB),1031.0,156537.0,1702.0,151.83,,,,True
2023,인천(ICN),구마모도(KMJ),인천(ICN)-구마모도(KMJ),666.0,93570.0,1400.0,140.5,,,,True
2024,인천(ICN),구마모도(KMJ),인천(ICN)-구마모도(KMJ),854.0,126667.0,1857.0,148.32,35.37,28.23,32.64,True
2025,인천(ICN),구마모도(KMJ),인천(ICN)-구마모도(KMJ),1496.0,210841.0,2896.0,140.94,66.45,75.18,55.95,True
2021,인천(ICN),나고야(NGO),인천(ICN)-나고야(NGO),582.0,6600.0,34615.0,11.34,,,,True
2022,인천(ICN),나고야(NGO),인천(ICN)-나고야(NGO),821.0,78147.0,32394.0,95.19,1084.05,41.07,-6.42,True
2023,인천(ICN),나고야(NGO),인천(ICN)-나고야(NGO),4432.0,705079.0,27375.0,159.09,802.25,439.83,-15.49,True
2024,인천(ICN),나고야(NGO),인천(ICN)-나고야(NGO),6067.0,1019004.0,35786.0,167.96,44.52,36.89,30.73,True
2025,인천(ICN),나고야(NGO),인천(ICN)-나고야(NGO),6095.0,1078740.0,32817.0,176.99,5.86,0.46,-8.3,True
2021,인천(ICN),도쿄 나리타(NRT),인천(ICN)-도쿄 나리타(NRT),5196.0,94379.0,186861.0,18.16,,,,True
2022,인천(ICN),도쿄 나리타(NRT),인천(ICN)-도쿄 나리타(NRT),8251.0,852989.0,177475.0,103.38,803.79,58.8,-5.02,True
