year,route,origin,destination,flight_count,passenger_count,cargo_ton,passengers_per_flight,passenger_growth_rate,flight_growth_rate,cargo_growth_rate,avg_carrier_count,avg_lcc_share,avg_icn_total_flight_count,avg_icn_total_paid_passenger_count,avg_icn_passengers_per_flight,japan_country_passenger_count,japan_country_flight_count,japan_country_passenger_growth_rate,japan_country_flight_growth_rate,jpy_krw_rate,jpy_krw_change_rate_7d,jpy_krw_change_rate_30d,jpy_krw_change_rate_90d,holiday_count,holiday_names,demand_pressure_score,supply_pressure_score,exchange_pressure_score,competition_pressure_score,holiday_pressure_score,risk_score,risk_level,purchase_timing_recommendation,is_japan_route,japan_country_cargo_ton,japan_country_cargo_growth_rate,japan_country_passengers_per_flight
2021,인천(ICN)-간사이(KIX),인천(ICN),간사이(KIX),1922.0,39039.0,79390.0,20.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1030.24,-1.38,-0.3,-3.71,0.0,,2,4,1,5,1,13,중간,가격 모니터링 후 구매,True,0.0,0.0,0.0
2022,인천(ICN)-간사이(KIX),인천(ICN),간사이(KIX),5659.0,667741.0,76592.0,118.0,1610.45,194.43,-3.52,4.16,0.7993,0.0,32704.59,0.0,3009252.0,24200.0,0.0,0.0,953.18,-3.11,-0.12,-1.61,0.0,,5,1,1,3,1,11,낮음,대기 가능,True,319524.0,0.0,124.35
2023,인천(ICN)-간사이(KIX),인천(ICN),간사이(KIX),19949.0,3802521.0,92331.0,190.61,469.46,252.52,20.55,3.28,1.1634,0.0,67158.6,0.0,19382535.0,108303.0,544.1,347.53,912.87,0.81,-2.26,-3.59,0.0,,5,1,1,4,1,12,중간,가격 모니터링 후 구매,True,432139.0,35.24,178.97
2024,인천(ICN)-간사이(KIX),인천(ICN),간사이(KIX),22866.0,4452000.0,104160.0,194.7,17.08,14.62,12.81,3.02,0.92,0.0,65444.23,0.0,25143112.0,136506.0,29.72,26.04,0.0,0.0,0.0,0.0,0.0,,3,3,2,4,1,13,중간,가격 모니터링 후 구매,True,510846.0,18.21,184.19
2025,인천(ICN)-간사이(KIX),인천(ICN),간사이(KIX),24848.0,4464603.0,110198.0,179.68,0.28,8.67,5.8,0.0,0.0,0.0,0.0,0.0,27317917.0,151827.0,8.65,11.22,0.0,0.0,0.0,0.0,0.0,,2,3,2,5,1,13,중간,가격 모니터링 후 구매,True,555558.0,8.75,179.93
2025,인천(ICN)-고베(UKB),인천(ICN),고베(UKB),1031.0,156537.0,1702.0,151.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27317917.0,151827.0,8.65,11.22,0.0,0.0,0.0,0.0,0.0,,2,4,2,5,1,14,중간,가격 모니터링 후 구매,True,555558.0,8.75,179.93
2023,인천(ICN)-구마모도(KMJ),인천(ICN),구마모도(KMJ),666.0,93570.0,1400.0,140.5,0.0,0.0,0.0,3.28,1.1634,0.0,67158.6,0.0,19382535.0,108303.0,544.1,347.53,912.87,0.81,-2.26,-3.59,0.0,,2,4,1,4,1,12,중간,가격 모니터링 후 구매,True,432139.0,35.24,178.97
2024,인천(ICN)-구마모도(KMJ),인천(ICN),구마모도(KMJ),854.0,126667.0,1857.0,148.32,35.37,28.23,32.64,3.02,0.92,0.0,65444.23,0.0,25143112.0,136506.0,29.72,26.04,0.0,0.0,0.0,0.0,0.0,,4,2,2,4,1,13,중간,가격 모니터링 후 구매,True,510846.0,18.21,184.19
2025,인천(ICN)-구마모도(KMJ),인천(ICN),구마모도(KMJ),1496.0,210841.0,2896.0,140.94,66.45,75.18,55.95,0.0,0.0,0.0,0.0,0.0,27317917.0,151827.0,8.65,11.22,0.0,0.0,0.0,0.0,0.0,,5,1,2,5,1,14,중간,가격 모니터링 후 구매,True,555558.0,8.75,179.93
2021,인천(ICN)-나고야(NGO),인천(ICN),나고야(NGO),582.0,6600.0,34615.0,11.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1030.24,-1.38,-0.3,-3.71,0.0,,2,4,1,5,1,13,중간,가격 모니터링 후 구매,True,0.0,0.0,0.0
2022,인천(ICN)-나고야(NGO),인천(ICN),나고야(NGO),821.0,78147.0,32394.0,95.19,1084.05,41.07,-6.42,4.16,0.7993,0.0,32704.59,0.0,3009252.0,24200.0,0.0,0.0,953.18,-3.11,-0.12,-1.61,0.0,,5,1,1,3,1,11,낮음,대기 가능,True,319524.0,0.0,124.35
